[2025-03-10 17:37:03,178] 18 root - INFO - Models have been loaded..
[2025-03-10 17:37:05,181] 24 root - INFO - Arduino connected..
[2025-03-10 17:37:07,376] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:37:09,792] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:37:11,294] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:37:12,796] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:37:17,743] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:37:18,053] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 17:37:19,055] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:37:21,571] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:37:32,662] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 17:37:39,665] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
